HblGrain,HblArDate,HblAr1sigerr
Hbl001,103.473266201251,2.90498990823155
Hbl002,95.5698086627025,2.86717807500365
Hbl003,99.0030542870975,2.88463867456835
Hbl004,97.189194598715,3.28782052443632
Hbl005,102.184818653985,3.10004347776179
Hbl006,99.5462917081576,3.04023388998537
Hbl007,105.274245868852,2.71720089442614
Hbl008,98.4180875457477,3.04942742911495
Hbl009,102.58597999445,2.46192507854702
Hbl010,102.361817277779,2.93073692382354
Hbl011,99.2601651313468,2.30322858201008
Hbl012,94.9557906779661,3.02874915864843
Hbl013,108.039904800871,3.09950565660162
Hbl014,96.6288514397949,2.76495926822913
Hbl015,104.614253343817,3.58239201279183
Hbl016,102.341208182404,2.70061994652445
Hbl017,108.671300068375,3.27335864132799
Hbl018,104.484308832485,3.03313222811249
Hbl019,101.460531360548,2.54098196447096
Hbl020,108.157358839788,3.65540116792738
Hbl021,101.633564059253,2.5675404574103
Hbl022,95.0933405671236,2.83146738633933
Hbl023,107.419101728383,3.3115052912601
Hbl024,97.5333890788674,3.00635895456513
Hbl025,102.85493419936,3.30579433189432
Hbl026,99.1723942821349,2.6159357800288
Hbl027,105.096451030222,2.56807103603
Hbl028,106.60761606188,3.45445104907533
Hbl029,106.593060785932,3.24133033527937
Hbl030,107.942620815353,3.53703227875731
Hbl031,106.215299426481,3.648437359092
Hbl032,99.0367092251655,3.17942316717116
Hbl033,95.7746408223474,2.86577562783922
Hbl034,96.7881147161326,2.78696239062322
Hbl035,98.7229853518827,3.2410385506563
Hbl036,107.343522048833,3.17484161874336
Hbl037,104.662188305561,2.71755664206565
Hbl038,104.352896870163,3.42330068167315
Hbl039,105.250645804036,3.50372877789878
Hbl040,101.274915104354,3.03066469577616
Hbl041,100.966692776805,2.67741661524749
Hbl042,103.646710372433,2.98778407047577
Hbl043,103.693162618953,3.17911294978714
Hbl044,96.5716660314088,3.1754784875995
Hbl045,97.1606072752047,2.73347400008138
Hbl046,104.383062524789,2.98881357107566
Hbl047,95.2931733419011,3.19876464374682
Hbl048,94.7077747449624,2.77739351762727
Hbl049,104.098861869549,3.17349078695542
Hbl050,103.683625768104,3.75949743580899
Hbl051,101.415487698671,2.62177490640638
Hbl052,94.8831878119949,3.13345316012215
Hbl053,95.8552085028653,2.50395708164902
Hbl054,107.461480561246,3.10709238996751
Hbl055,103.109038850929,3.72203570556754
Hbl056,100.699432153753,2.97843385383239
Hbl057,101.453012911727,2.88822791083466
Hbl058,106.092053980947,3.07178756890828
Hbl059,96.1177484324777,2.70593659609673
Hbl060,98.8458882550474,2.83292911212393
Hbl061,141.137251245554,3.73520233036228
Hbl062,141.762928380484,4.14954124358806
Hbl063,138.450675609972,4.12532839491436
Hbl064,129.176318037492,3.95111013154059
Hbl065,134.316402650463,4.14986017792474
Hbl066,120.810962183592,3.95705326139516
Hbl067,136.209362524247,3.69274621562273
Hbl068,121.377597672178,3.26062358410771
Hbl069,136.818487715305,4.32620446729279
Hbl070,122.887944822619,3.67395186444947
Hbl071,119.526539004507,3.05852034450526
Hbl072,120.958534704289,3.76560628794561
Hbl073,116.059764056572,3.60810175291405
Hbl074,137.562188535606,4.14384964958467
Hbl075,137.972031471751,3.70187486411555
Hbl076,131.448000497398,4.16962514476893
Hbl077,120.840884031662,3.70682821356931
Hbl078,118.506630125321,3.82186063795467
Hbl079,116.573868993119,3.69055752100927
Hbl080,120.972445308957,3.96915493638857
Hbl081,142.725666049494,4.30396428903316
Hbl082,123.24610525105,3.61642999097435
Hbl083,126.628139816516,3.90351726324958
Hbl084,119.16036453444,3.71541227024283
Hbl085,122.670839142445,3.87501598217201
Hbl086,131.576737123406,3.58321705606059
Hbl087,134.23258049287,3.79396557732964
Hbl088,123.360569424986,4.01804324116317
Hbl089,117.731964776754,3.66844501748024
Hbl090,127.730986073822,4.10584204274236
Hbl091,123.02610112779,3.95846980186222
Hbl092,122.586617696894,3.76044156091391
Hbl093,144.795884081404,4.53747152204435
Hbl094,134.489014577772,4.57734232154258
Hbl095,132.706353295163,4.05735156939371
Hbl096,128.4732531057,4.01736523269751
Hbl097,128.868330002904,3.61785429416216
Hbl098,132.227150115142,3.9449957935521
Hbl099,136.892894211083,4.3593373869372
Hbl100,137.064382885455,3.92765667151695
