Chronometer,GrainID,Age_Ma,Age_1sigma_Ma,PairID,PairRole,UseForModel
HblAr,Hbl001,92.707112912235,2.86277953729583,,,1
HblAr,Hbl002,91.3106340742324,2.98003054774466,,,1
HblAr,Hbl003,92.5897794011067,3.23988263202036,,,1
HblAr,Hbl004,92.2014946392304,2.69292984875921,,,1
HblAr,Hbl005,90.7235724695923,3.03084359599387,,,1
HblAr,Hbl006,92.3993960705787,2.46188076727641,,,1
HblAr,Hbl007,81.5485186306036,2.7502134585109,,,1
HblAr,Hbl008,93.7964938150754,2.42846593810056,,,1
HblAr,Hbl009,87.1323291564462,2.51893217913447,,,1
HblAr,Hbl010,88.8440475951551,2.95263569029824,,,1
HblAr,Hbl011,80.2643207463709,2.08969451206308,,,1
HblAr,Hbl012,93.3194164674792,2.57523448019186,,,1
HblAr,Hbl013,89.0321660143139,2.94878953675831,,,1
HblAr,Hbl014,80.4579435008695,2.46326254438026,,,1
HblAr,Hbl015,82.0173931115903,2.60594571396023,,,1
HblAr,Hbl016,82.7439189357608,2.67463771703394,,,1
HblAr,Hbl017,91.1314575943259,2.78402795712472,,,1
HblAr,Hbl018,92.436686189149,2.51738001060043,,,1
HblAr,Hbl019,84.9703517011335,2.34215985778075,,,1
HblAr,Hbl020,81.0593601630862,1.87888394661671,,,1
HblAr,Hbl021,86.6485566047911,2.90980355050037,,,1
HblAr,Hbl022,86.4258096579515,2.64572623478547,,,1
HblAr,Hbl023,90.8003135950957,2.64026187288443,,,1
HblAr,Hbl024,83.4576060021209,2.47708178986114,,,1
HblAr,Hbl025,92.1943437716372,3.23455147915556,,,1
HblAr,Hbl026,90.1448114539363,2.17001281625342,,,1
HblAr,Hbl027,88.6184534207538,2.70324457051723,,,1
HblAr,Hbl028,87.3858443197332,2.62426224269623,,,1
HblAr,Hbl029,91.3638540137738,2.81520687385712,,,1
HblAr,Hbl030,93.2774476289119,2.2283570576416,,,1
HblAr,Hbl031,85.8406993633755,2.95537834551174,,,1
HblAr,Hbl032,90.6705417013962,2.9201838423753,,,1
HblAr,Hbl033,86.2814266786608,2.69047693870187,,,1
HblAr,Hbl034,92.684559270887,3.0323859690487,,,1
HblAr,Hbl035,87.7828984721777,2.74439770804717,,,1
HblAr,Hbl036,87.0111585117262,2.83598071631161,,,1
HblAr,Hbl037,94.2226469476636,2.3923393735965,,,1
HblAr,Hbl038,89.9509358270912,2.7589773411836,,,1
HblAr,Hbl039,92.9837798459154,2.83182522486179,,,1
HblAr,Hbl040,94.0493754429085,2.79017297220154,,,1
HblAr,Hbl041,80.1505965141508,2.51398984254607,,,1
HblAr,Hbl042,90.1646923253791,3.30040602397953,,,1
HblAr,Hbl043,82.8518833121805,3.14153685335997,,,1
HblAr,Hbl044,91.1803901785435,2.71109158407127,,,1
HblAr,Hbl045,84.7774591666411,2.29419785450823,,,1
HblAr,Hbl046,83.5965821016547,2.77777283720654,,,1
HblAr,Hbl047,86.0654188908823,2.77929220978967,,,1
HblAr,Hbl048,87.9263571717476,2.12610633489045,,,1
HblAr,Hbl049,88.822386287791,2.98097472265219,,,1
HblAr,Hbl050,89.7669760018551,2.96181009775918,,,1
HblAr,Hbl051,81.0570628362826,2.44367363639599,,,1
HblAr,Hbl052,82.5407088831841,2.57106332184215,,,1
HblAr,Hbl053,80.5245963400023,2.33489370732414,,,1
HblAr,Hbl054,93.1355416477168,2.25539005523376,,,1
HblAr,Hbl055,84.0369878719453,2.42111136913141,,,1
HblAr,Hbl056,80.9248931476844,2.81370746493386,,,1
HblAr,Hbl057,92.2815040075151,2.25589931681799,,,1
HblAr,Hbl058,94.0025559894983,2.73976376207129,,,1
HblAr,Hbl059,83.8831902606491,2.43129894568371,,,1
