ReferenceSystem,GrainID,Age_Ma,Age_1sigma_Ma
ZrnUPb,Ref001,87.3087805313536,0.669728754609413
ZrnUPb,Ref002,94.3361607881479,1.28645366777601
ZrnUPb,Ref003,94.8799323173627,0.950101639312847
ZrnUPb,Ref004,91.6869512618961,1.04906789609026
ZrnUPb,Ref005,85.0195295169252,1.27438659566385
ZrnUPb,Ref006,87.3839298415678,0.846928753838851
ZrnUPb,Ref007,83.5127626141631,1.0113295503736
ZrnUPb,Ref008,94.5869429457297,0.5
ZrnUPb,Ref009,90.8830081430877,0.510398211092376
ZrnUPb,Ref010,93.7758996783874,0.5
ZrnUPb,Ref011,87.0425002011403,0.54932870452527
ZrnUPb,Ref012,99.2219481850025,0.637246013344319
ZrnUPb,Ref013,99.0846112458998,0.565854614009675
ZrnUPb,Ref014,89.3808332486038,1.02867598887814
ZrnUPb,Ref015,84.4469932246968,0.536662492432445
ZrnUPb,Ref016,86.5954705986638,0.560312035369896
ZrnUPb,Ref017,90.0708466319882,0.774494500247952
ZrnUPb,Ref018,89.7022469477047,0.537594266069603
ZrnUPb,Ref019,86.6949449276983,0.890175661663141
ZrnUPb,Ref020,91.5297545753449,0.663125552752899
ZrnUPb,Ref021,87.9547107710474,1.09271442460512
ZrnUPb,Ref022,83.5907258855759,0.935255670605863
ZrnUPb,Ref023,88.5754858526846,0.571779909779295
ZrnUPb,Ref024,89.6760657205439,0.951180821194859
ZrnUPb,Ref025,95.0019159441948,0.994406426764954
ZrnUPb,Ref026,85.9933535084439,0.984891947004118
ZrnUPb,Ref027,90.4590000762589,0.5
ZrnUPb,Ref028,91.3690239596885,0.621578650781152
ZrnUPb,Ref029,79.3326622029102,0.5
ZrnUPb,Ref030,92.0198864027471,1.16954571429932
ZrnUPb,Ref031,85.2075029532567,0.83967362065186
ZrnUPb,Ref032,88.3684157406681,0.686666519507994
ZrnUPb,Ref033,102.393478148021,0.5
ZrnUPb,Ref034,97.6953802603626,0.574779377187176
ZrnUPb,Ref035,94.1350544795255,0.58863914931087
ZrnUPb,Ref036,89.2020638705617,0.945469115534707
ZrnUPb,Ref037,85.7113912545854,0.828915929910935
ZrnUPb,Ref038,91.9917698320627,1.06860436164299
ZrnUPb,Ref039,88.8759557872817,0.731372601018457
ZrnUPb,Ref040,83.4266617813853,0.5
ZrnUPb,Ref041,89.8910156702725,0.996392432184786
ZrnUPb,Ref042,85.5996982950277,1.00589442079356
ZrnUPb,Ref043,95.5432023642859,0.782892194763318
ZrnUPb,Ref044,87.6793086953268,0.900513877333097
ZrnUPb,Ref045,93.3228459569062,0.748296420687587
ZrnUPb,Ref046,87.3493094089092,0.772011417629389
ZrnUPb,Ref047,90.2045466493528,0.721256643663152
ZrnUPb,Ref048,90.7752695456862,0.5
ZrnUPb,Ref049,132.132289131628,1.49732400708028
ZrnUPb,Ref050,116.631595251022,1.41212538683119
ZrnUPb,Ref051,144.078217025972,1.0792816196936
ZrnUPb,Ref052,133.863818583926,1.23766747103965
ZrnUPb,Ref053,140.327600044047,1.67244819117444
ZrnUPb,Ref054,147.04108219401,1.50185887036201
ZrnUPb,Ref055,131.353282033665,1.3857564071371
ZrnUPb,Ref056,137.113054593807,1.35908797506521
ZrnUPb,Ref057,145.127667777952,1.86418003774376
ZrnUPb,Ref058,125.02453806607,1.25542511177331
ZrnUPb,Ref059,125.472128756288,1.21769499565776
ZrnUPb,Ref060,131.998645933036,1.4923643802697
ZrnUPb,Ref061,123.55791044786,1.89619448191399
ZrnUPb,Ref062,155.137701309458,1.28040561181931
ZrnUPb,Ref063,147.290554287909,1.56030440502739
ZrnUPb,Ref064,142.088075755565,1.67186900157505
ZrnUPb,Ref065,150.856144921596,1.35817808716757
ZrnUPb,Ref066,146.286257718263,1.74723763209712
ZrnUPb,Ref067,131.259002168066,1.40162334667053
ZrnUPb,Ref068,159.17827605236,1.71331503675048
ZrnUPb,Ref069,140.97482039858,1.59131085798937
ZrnUPb,Ref070,145.069763312833,1.53956244292115
ZrnUPb,Ref071,150.247568787838,1.05836968900059
ZrnUPb,Ref072,130.721010395873,1.64952061544441
ZrnUPb,Ref073,131.107898246396,1.36059072982535
ZrnUPb,Ref074,130.16771511225,1.20044263811302
ZrnUPb,Ref075,139.686210869534,0.963167025428906
ZrnUPb,Ref076,148.687596050766,1.5563035391334
ZrnUPb,Ref077,130.851885942935,1.59258599491093
ZrnUPb,Ref078,140.34324163309,1.02985348893723
ZrnUPb,Ref079,137.497474323228,1.51323525828695
ZrnUPb,Ref080,129.424355647533,1.32495751381092
ZrnUPb,Ref081,131.38683925823,1.55437132515778
ZrnUPb,Ref082,136.464455585554,1.05507295154954
ZrnUPb,Ref083,148.295072851106,1.6299282935864
ZrnUPb,Ref084,136.31256370539,1.41112178546417
ZrnUPb,Ref085,140.615808684813,1.99614906495731
ZrnUPb,Ref086,145.580356391845,1.16252880521231
ZrnUPb,Ref087,138.236197021086,1.34121475813177
ZrnUPb,Ref088,150.482413343279,1.30301321494048
ZrnUPb,Ref089,150.137830949887,1.84202947412116
ZrnUPb,Ref090,130.512302426984,1.86057880095006
ZrnUPb,Ref091,192.314914251532,2.29332584450547
ZrnUPb,Ref092,204.535829525538,2.04918371494305
ZrnUPb,Ref093,230.6872036928,2.16675036753182
ZrnUPb,Ref094,202.598948426658,2.41109803223194
ZrnUPb,Ref095,200.994744910127,2.40086241374245
ZrnUPb,Ref096,169.713402895275,2.59267425635948
ZrnUPb,Ref097,163.640436636576,2.34489611028507
ZrnUPb,Ref098,219.526406044787,2.30501272873024
ZrnUPb,Ref099,229.150486085636,1.93393301285611
ZrnUPb,Ref100,203.908212264196,2.13200027060698
ZrnUPb,Ref101,194.424403498308,2.12044551440064
ZrnUPb,Ref102,191.316473710579,2.03205238360684
ZrnUPb,Ref103,215.575508963973,2.99449241983678
ZrnUPb,Ref104,227.853267333615,2.16901896870311
ZrnUPb,Ref105,215.959693330753,2.74595363799111
ZrnUPb,Ref106,220.648168408175,2.34362171591062
ZrnUPb,Ref107,209.846577796253,2.4386789998038
ZrnUPb,Ref108,166.241309715634,2.25238258107064
ZrnUPb,Ref109,178.438744614071,2.32129040420403
ZrnUPb,Ref110,222.167739866348,2.24114754441589
ZrnUPb,Ref111,205.367475189758,2.08873836286475
ZrnUPb,Ref112,180.554912621624,2.42077010390325
ZrnUPb,Ref113,167.328413587639,2.06729236620542
ZrnUPb,Ref114,215.124858703573,1.75682737577279
ZrnUPb,Ref115,182.750235344151,2.29126600045528
ZrnUPb,Ref116,187.746689325273,1.66005652407799
ZrnUPb,Ref117,202.215020705225,2.57772552342365
ZrnUPb,Ref118,208.335292092094,2.51204876003133
ZrnUPb,Ref119,216.658689756846,2.75669987171279
ZrnUPb,Ref120,192.111876488456,2.11848932919161
